X;Retailer;EAN_UPC;Product_name;Date;Text;Rating;Brand;GPT_estimated_cleaned
6040;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto Pasta Sauce All' Arrabbiata 370 g;09/07/2018;an arrabbiata should be spicy. Maybe not that spicy because Germans don't like that. Unfortunately There is hardly any chilli in this sauce. So you have to season it with chilli to make it taste good. The consistency is thick and chunky, which you can't get with pure tomato paste.;4;Knorr;Sauces
6041;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto Pasta Sauce All' Arrabbiata 370 g;06/04/2018;absolutely thin and disgusting. unfortunately. used to be better, but that was a long time ago... more words needed, three more words... what nonsense!;1;Knorr;Sauces
6042;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto Pasta Sauce All' Arrabbiata 370 g;25/04/2013;super tasty, I still make fresh garlic. But it only tastes good if you like things spicier . I can therefore recommend it;5;Knorr;Sauces
23418;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto pasta sauce All' Arrabbiata 370 g;19/01/2021;The Knorr tomato al gusto all' Arrabbiata sauce is really very tasty, as you would expect from Knorr . a cooking preparation is as usual on the back, the preparation is very simple. the taste is very good;5;Knorr;Sauces
23419;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto Pasta Sauce All' Arrabbiata 370 g;03/07/2022;tastes natural and contains no chemical substances, tomato sauce, garlic and herbs harmonize;4;Knorr;Sauces
23420;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto Pasta Sauce All' Arrabbiata 370 g;07/04/2021;We liked this sauce and have already bought it because it's a quick basic pizza sauce It's ideal if you don't have time to cook yourself. It also tastes good with pasta. Since it doesn't have the typical arrabiata spiciness, even our small children can eat the sauce without complaining. We adults had of course hoped that What's inside is what it says on the tin, but mostly the Knorr bags are mainstream and therefore not so heavily seasoned. Well, you can always add more seasoning. At least it's not as salty as other ready-made sauces. What we particularly like is that it's made from real sauce Italian tomatoes. We don't want any Chinese tomatoes on our plate - and this is often not clearly visible on the packaging. Therefore a good 4 stars!;4;Knorr;Sauces
23421;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto Pasta Sauce All' Arrabbiata 370 g;03/12/2020;does what it promises, I refine it a little and off goes the eel!!! ;5;Knorr;Sauces
23422;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto Pasta Sauce All' Arrabbiata 370 g;15/10/2022;good quality and tastes;5;Knorr;Sauces
23423;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto Pasta Sauce All' Arrabbiata 370 g;22/04/2020;The size of the pack is ideal for singles. The taste is good. The packaging is not exactly ecological. but you can buy it :);4;Knorr;Sauces
23424;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto pasta sauce All' Arrabbiata 370 g;03/02/2022;unfortunately one package was wrong. Unfortunately I don't like garlic. It wasn't ordered either.;3;Knorr;Sauces
23425;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto Pasta Sauce All' Arrabbiata 370 g;30/11/2020;the ingredients are good and if you refine them a bit it is a useful and quick meal. ;4;Knorr;Sauces
23426;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto pasta sauce All' Arrabbiata 370 g;24/01/2021;I was allowed to test the Knorr tomato al gusto all'arrabbiata sauce. The sauce arrives well packaged at home. One bag contains 370 grams of sauce. The principle is very simple. Tear open the tetra pack and pour the contents into a pot. Bring to the boil and pour over the noodles. The meal is ready...absolutely no rocket science! Perfect for singles and husbands are alone at home. The taste is very good and the small tomato pieces round the whole thing off well! I give 5 stars for the Knorr tomato al gusto all'arrabbiata sauce!!!;5;Knorr;Sauces
23427;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto Pasta Sauce All' Arrabbiata 370 g;06/07/2021;tastes good;5;Knorr;Sauces
23428;Amazon_DE;4,0387E+12;Knorr Tomato al Gusto Pasta Sauce All' Arrabbiata 370 g;14/01/2021;Knorr tomato al gusto arrabiata is really delicious and I love using it... it is a finished product, and I'm glad that this product exists, because when I freshly stock my tomatoes and peel them...put garlic on them, I usually can't do the other things anymore, I have rheumatism and can't use my fingers like that Use it however I want. In terms of taste, it's a great deal for me because I can season it as I want, there's no difference whether I make it myself or use it from the tetra pack... it has a slight spiciness, and I I like the consistency, it's not too firm but not too chunky either👍.. I'm happy to recommend that...;5;Knorr;Sauces
