Unnamed: 0,EAN_UPC,Product_name,Closest_Category,Brand,GPT_estimated
1,4000400001429.0,Knorr Sauce Béarnaise 250ml 250ml,"Grillsaucen, Ketchup & Mayo",Knorr,Sauces
2,8714100907993.0,Knorr Fix Würzmischung Gemüse-Gnocchi Pfanne für eine leckere Gemüsepfanne ohne geschmacksverstärkende Zusatzstoffe 28 g,Fix Produkte | Knorr Deutschland,Knorr,Fix Produkte | Knorr Deutschland
3,4038700102232.0,Knorr Würzmittel Nachfüllpackung Aromat Gewürzmischung zum Verfeinern von Speisen für schnelle Gerichte 100 g,"Brühen, Bouillons & Würzmittel",Knorr,Würzmittel | Knorr Deutschland
5,8714100399422.0,"Knorr Natürlich Lecker Würstchen Gulasch, 9er Pack (9 x 3 Portionen)",Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
6,8722700196983.0,"Knorr Aromat Universal Streuwürzmittel, 1er Pack (1 x 1,5kg)","Brühen, Bouillons & Würzmittel",Knorr,Würzmittel | Knorr Deutschland
7,4038700319715.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
8,9000275714610.0,"Knorr Gemüsegold Bouillon Gemüsebrühe (rein pflanzlich, ausgeprägter Gemüsegeschmack) 1er Pack (1 x 1 kg)",Natürlich Lecker!,Knorr,Die Bio Gemüse Bouillon
9,4013300031342.0,Knorr  Honig-Senf Sauce milde Grillsauce mit Dill verfeinert 250 ml 1 Stück,Sauces,Knorr,Grillsaucen
10,8718114818528.0,Knorr Fix Nudel-Schinken Gratin 2 Portionen 28g,Fix Produkte | Knorr Deutschland,Knorr,Fix Produkte | Knorr Deutschland
11,8712566479825.0,"Knorr Geflügel Cremesuppe Trockenmischung (abgerundeter Geschmack) 1er Pack (1x 2,1kg)",Salatzutaten,Knorr,Suppen
12,4038700102515.0,"Knorr Kräuterlinge Würzmischung zum Streuen Frühlingskräuter für Salatedressing, Gemüse und Aufläufe mit nachhaltig angebauten Kräutern 60 g","Brühen, Bouillons & Würzmittel",Knorr,Fix Produkte | Knorr Deutschland
16,8711200365555.0,Knorr  Gemüse Bouillon mit vollem Geschmack und natürlichen Zutaten 320 g,Natürlich Lecker!,Knorr,Die Bio Gemüse Bouillon
17,9000275699511.0,"Knorr Sweety Kaiserschmarrn ohne Rosinen, 2 Portionen (1 x 185 g)",Snacks & Fertiggerichte,Knorr,Fix Produkte | Knorr Deutschland
18,4007801306092.0,"Knorr Curry Sauce ideal für Currywurst, Trockenmischung für Currysauce, 1er Pack (1 x 6 kg)","Brühen, Bouillons & Würzmittel",Knorr,Grillsaucen
19,4038700119711.0,Knorr  Salatkrönung Croutinos mit Zwiebeln für einen leckeren Salat ohne geschmacksverstärkende Zusatzstoffe 25 g,Salatzutaten,Knorr,Salatzutaten
20,9000275766107.0,"Knorr Tomato Pronto, 1er Pack (1x 2000g)","Brühen, Bouillons & Würzmittel",Knorr,Sauces
22,8714100699911.0,Knorr  Kartoffel Snack Speck & Zwiebeln leckeres Kartoffelgericht fertig in nur 5 Minuten 58 g,Natürlich Lecker!,Knorr,Snacks & Fertiggerichte
23,8712423003408.0,Knorr Mayonnaise 430ml 430ml,"Grillsaucen, Ketchup & Mayo",Knorr,Ketchup & Mayo
25,8720182052421.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
26,8710604725569.0,Knorr Tomato al Gusto Nudelsosse Basilikum   370 g,Fix Produkte | Knorr Deutschland,Knorr,Sauces
27,8711200340026.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
28,8722700644620.0,Knorr  Soße zu Schweinebraten leckere dunkle Soße ohne geschmacksverstärkende Zusatzstoffe 234 g 1 Stück,Sauces,Knorr,Grillsaucen
29,4007801106791.0,"Knorr Rahmsauce (cremig, auch als Saucenbinder) 1er Pack (1 x 1 kg)",Sauces,Knorr,Grillsaucen
30,8714100823606.0,Knorr  Salatkrönung Italienische Art für ein leckeres Salatdressing mit natürlichen Zutaten* 5x 3 Portionen,Salatzutaten,Knorr,Salatzutaten
31,8712566064946.0,Knorr Fix Würzmischung Gefüllte Ofen-Paprika für ein leckeres Ofengericht ohne geschmacksverstärkende Zusatzstoffe und Farbstoffe 43 g,Fix Produkte | Knorr Deutschland,Knorr,Fix Produkte | Knorr Deutschland
32,40004877.0,Knorr Knorr Klarer Bratensaft Soße Würfel 1 Liter,Sauces,Knorr,"Brühen, Bouillons & Würzmittel"
33,4038700102508.0,"Knorr Kräuterlinge Würzmischung zum Streuen Gartenkräuter für Gemüse, Salat Dressing und Eintöpfe mit nachhaltig angebauten Kräutern 60 g","Brühen, Bouillons & Würzmittel",Knorr,Fix Produkte | Knorr Deutschland
36,4007801109075.0,Knorr Gemüsekrönung Butter Kräuter 1 kg,"Brühen, Bouillons & Würzmittel",Knorr,Fix Produkte | Knorr Deutschland
37,8718114828008.0,Knorr Fix Zucchini-Pfanne Toskana 42g 42g,Fix Produkte | Knorr Deutschland,Knorr,Fix Produkte | Knorr Deutschland
38,8720182088987.0,Knorr  Delikatess Brühe im Glas mit würzigem Geschmack und ohne Farbstoffe und ohne Konservierungsstoffe lt. Gesetz 140 g,"Brühen, Bouillons & Würzmittel",Knorr,"Brühen, Bouillons & Würzmittel"
39,8712100823534.0,Knorr Professional Fischfond konzentriert (ausgewogene Basis für Saucen und Suppen) 1er Pack (1x1L),Suppen,Knorr,"Brühen, Bouillons & Würzmittel"
42,8718114827865.0,Knorr Fix Würzmischung Waldpilz-Rahm Geschnetzeltes für ein leckeres Fleischgericht ohne geschmacksverstärkende Zusatzstoffe 40 g 1 Stück,Natürlich Lecker!,Knorr,Fix Produkte | Knorr Deutschland
43,4000400123282.0,"Knorr Feinschmecker Sauce Hollandaise fettarm leckere Soße mit unter 1,5% Fett ohne geschmacksverstärkende Zusatzstoffe 250 ml 1 Stück",Sauces,Knorr,Grillsaucen
44,8711200340040.0,Knorr,Die Bio Gemüse Bouillon,Knorr,Fix Produkte | Knorr Deutschland
45,8711200339914.0,Knorr Feinschmecker Tomatencremesuppe 500ml 59ml,Suppen,Knorr,Suppen
46,4007801305279.0,"Knorr Salatkrönung Paprika Kräuter Dressing (Basis für Salatdressing mit ausgesuchten Kräutern, Gewürzen und kräftiger Paprikanote) 1er Pack (1 x 5 kg)",Salatzutaten,Knorr,Salatzutaten
47,8720182139559.0,Knorr  Gemüse Bouillon salzfrei und voll im Geschmack 85 g,"Brühen, Bouillons & Würzmittel",Knorr,Die Bio Gemüse Bouillon
49,,"Knorr Pasta Snack creamy pesto Becher, 4er Pack (4 x 68 g)",Snacks & Fertiggerichte,Knorr,Snacks & Fertiggerichte
